"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bangladesh","BGD","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","2134155287.51291","2177558754.40695","2757801472.57366","2865887051.98035","3899144785.81558","4206630998.15581","4038032815.22557","3500087979.46423","4144203193.38641","4393787648.96903","4426199403.96683","3556966600.07939","1896402128.75773","3218004549.82358","3881061970.74649","3392353957.42198","3339916718.5458","3912577279.14727","4092046822.91918","4956819888.43037","4767422233.54608","5006234695.08345","5175322535.10367","5377111851.116","5894851389.85103","6259650464.85972","6692095784.11092","7269415688.87823","7496441493.37886","7779742974.90647","8347472089.85286","8740713018.60803","9351619218.31018","10108556728.5475","10930348950.0689","12038070608.9036","12849042524.7457","13520466925.118","14700384737.9486","15470876744.4724","16438699422.3979","17665302518.1578","18690421758.9017","19920569197.098","21324824257.5525","23016388424.0275","25271511135.4433","27552979752.2958","29490927962.5951","31529686907.104","33746918167.2004","36790596648.3795","40262009730.9817","44143009351.6529","47745085198.7102","52360557158.0435","58169298008.0239","62981158232.8155","69402599930.8005","77476428865.0494","80274163391.8275","88532058911.146","97257480670.354","105395355901.182","109090708115.263","",
"Bulgaria","BGR","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","5671781305.30801","5981896885.77983","6540998304.69267","7040675425.91576","7472361648.91785","7853009561.52215","8260809934.41242","8704729376.62092","9567739060.78021","9660087875.53716","8452576889.46555","6880397650.97513","6440052112.41754","6040768918.21956","6403215011.3642","6052928011.83585","6085631665.46047","6591629240.77259","6768306405.54565","6709752818.60165","7440085684.52222","7903608767.3227","8264715140.46758","8895676135.19842","9249764206.9995","9664369458.55326","10558554395.7879","11823471554.8717","12478757921.6364","12129817559.1526","11261846481.0425","11505220781.0903","11960048112.2598","11620647425.4905","11685208041.8382","12199120947.6309","12678045209.8537","12802139937.706","12655338158.531","12656698406.5345","11792813784.5751","11907081578.5389","13427470413.3972","12875171122.409","12345168010.2863","",
"Bahrain","BHR","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9669412056.73759","10325094038.9326","10809001188.9796","10817122764.9356","11070673215.2815","11188671112.2527","10988232217.9698","11959295648.5431","12544859274.5806","12713617021.2766","13087114496.8134","13201661724.1974","13308532461.9924","13558781021.6211","13475889936.9719","13995940850.5567","14230811426.1553","14240388284.5024","14400294313.5617","",
"Bahamas, The","BHS","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","710898895.164787","676440117.669279","657626765.60887","666546636.016058","595057434.792583","666951904.932135","662716142.248136","682941980.577328","911160963.486905","1014644618.61977","958948537.56452","1038117740.39381","891642095.201683","943131523.609253","1086578378.89505","1040136933.66469","1168355706.3659","1337799675.01434","1032396692.79297","1170711431.8486","1082539992.35328","1245337449.81839","1305492582.68018","1430598432.4221","1339818868.28522","1478301873.44676","1320300000","1562687325.55917","1437244943.60543","1322487459.37679","1347138443.89218","1009849034.60141","1068321506.40413","1022468992.54445","1111986560.88702","1250721965.20742","",
"Bosnia and Herzegovina","BIH","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2012857454.62417","2093626100.82535","2170102167.68131","2303851300.11235","2491692536.48643","2751561309.81506","3019521875.86671","3272681015.27669","3575064040.89393","3403935610.2374","3449635434.6366","3439242834.06646","3356435326.81922","3482578333.44309","3547927256.49491","3564082910.49803","3737326342.23969","3928074283.91462","4079307828.17337","4051926598.88702","3969758963.39665","4345399225.64697","4429313650.60498","4393324434.04507","4358733759.15507","",
"Belarus","BLR","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7483574769.25686","7514994027.5309","6884536683.06142","6078152200.04086","5022907507.51203","4347772484.923","4494408011.41117","5301793013.55077","5876595517.85505","6321493817.38571","6689205620.63921","7010269679.15041","7498980815.81703","8295193044.15351","9857156473.86059","11193241135.031","12776229297.0737","13964444413.8461","16134959862.9182","16183968868.2451","18110980098.9919","19495880517.9772","20023317108.4324","19666808341.3237","19919505514.3169","18456365977.8764","17716003699.0604","18446999221.6153","19404418323.5164","19681247408.8675","19614675665.3625","20171929469.1959","18911274226.6414","20444191866.7057","21662999432.9377","",
"Belize","BLZ","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","","","","","","47014536.27226","49935453.0274174","56774687.4207113","61896351.0287254","69022111.1984058","73411460.1041912","73028615.5019968","84149157.3802755","90506377.8577218","95675250.0711908","115973360.256641","119842363.100899","114183946.441171","110653481.345786","113893771.227852","114087221.370065","118101311.820983","133238785.449143","144942519.053024","172557526.853918","204259153.309615","221461113.925673","244763544.461793","266599001.20832","238048379.144533","236921857.581785","233775400.416961","235410714.863093","228563572.32747","250495830.78635","323218799.223065","318840844.568055","318651975.72295","286008808.024504","311042015.76688","308514965.495021","352923119.146711","376271311.263186","356537877.618931","377813393.199292","338260563.658547","333140783.463814","303533789.834067","309101180.299217","327563463.342334","319174317.810794","344330780.102994","320265873.729966","320404909.821583","336192931.696925","324796855.560309","386667631.272725","384849232.210417","375756411.136838","386476622.027193","",
"Bermuda","BMU","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","477752400.341242","409246299.259114","371008589.956611","357249187.361829","344534565.109573","341004000","343694152.977761","358067702.899636","386395639.372433","446844836.555661","373565277.980437","375286767.347213","395259589.164661","381064340.079684","","",
"Bolivia","BOL","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","1145288991.33099","1128512297.42041","1242593817.74177","1366728441.47354","1458425876.75557","1608135974.98697","1752231944.88057","1961826082.75041","2079722785.91469","2228809091.9164","2321754111.6578","2490760718.55562","2794467200.38816","3072903096.55052","3146647257.31618","3250103499.72949","3376839310.46649","3596080777.14637","3631000130.49662","3466588175.06717","3270473237.66707","3161786155.1372","2869774314.67369","2836607993.26046","2715823200.71303","2517208537.39603","2277680626.9801","2359735669.76772","2454383656.72522","2650597255.29712","2838525551.56612","2958137103.00051","3011333441.45365","3174701219.98838","3323191451.60799","3555402357.55234","3664213846.42006","3800302990.1215","4069402118.77153","3989589221.68751","4086666829.42562","4095139848.34662","4204850458.02664","4242489072.19311","4509887959.17888","4801888352.67055","5134865469.56484","5494199329.90114","6075477332.10498","6251438451.4212","6491687602.34499","6807597564.97577","7161858947.36664","7701151748.92927","8104416743.23622","8316847337.19247","8650216972.7513","8844782865.70824","9067207252.18262","9183529816.92326","7341993469.72554","8677198808.85452","8850381977.12333","8894499699.9362","8649515292.61733","",
"Brazil","BRA","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","43420980539.8388","47544327325.0438","50845631238.579","50917989447.498","54077170844.8963","53308105987.5169","59045701841.4842","61000800753.2239","69807524426.2451","77565236201.3459","90252628652.7266","100912023106.471","115230272809.201","134863881070.562","146319053718.708","153489976867.214","171503222486.573","176896200721.418","188288011845.962","201086258367.125","219686737266.084","200266429691.762","200186323119.885","188335292791.188","200219249766.312","216777381721.986","242053624430.769","244449955312.634","238094256474.506","244903752209.677","224870625278.925","225455288917.894","215941075720.306","231078545113.481","246633170910.111","251349320241.045","253799012401.031","264902700057.552","259366222099.703","252602170184.056","263746564360.505","262052256484.099","272018678710.708","272300543420.302","294669732341.701","300546587562.217","306576919035.434","325605118776.328","338953663369.489","323015083241.192","355972542471.96","370618410318.019","367939490180.215","375909863266.004","370240451608.477","348909035724.836","332976807470.561","331309492776.591","333684919328.575","331449105098.427","321602048006.654","337795714721.197","342933018784.277","348688610829.665","359444108388.096","",
